image;threads;seconds
720.jpg;4;0.068194
720.jpg;4;0.067826
720.jpg;4;0.067730
720.jpg;4;0.072056
720.jpg;4;0.068498
720.jpg;4;0.067747
720.jpg;4;0.071622
720.jpg;4;0.068947
720.jpg;4;0.067774
720.jpg;4;0.068313
720.jpg;4;0.067666
720.jpg;4;0.068012
720.jpg;4;0.155834
720.jpg;4;0.081951
720.jpg;4;0.081823
720.jpg;4;0.081518
720.jpg;4;0.082107
720.jpg;4;0.081578
720.jpg;4;0.081702
720.jpg;4;0.082082
720.jpg;4;0.078874
720.jpg;4;0.067726
720.jpg;4;0.066936
720.jpg;4;0.069518
720.jpg;4;0.080837
720.jpg;4;0.080890
720.jpg;4;0.080720
720.jpg;4;0.087018
720.jpg;4;0.081827
720.jpg;4;0.081260
720.jpg;4;0.081275
720.jpg;4;0.082728
720.jpg;4;0.080955
720.jpg;4;0.070311
720.jpg;4;0.066960
720.jpg;4;0.067725
720.jpg;4;0.081096
720.jpg;4;0.080713
720.jpg;8;0.080276
720.jpg;8;0.080944
720.jpg;8;0.082426
720.jpg;8;0.082718
720.jpg;8;0.081406
720.jpg;8;0.072660
720.jpg;8;0.067172
720.jpg;8;0.066998
720.jpg;8;0.183694
720.jpg;8;0.080639
720.jpg;8;0.080041
720.jpg;8;0.078965
720.jpg;8;0.071847
720.jpg;8;0.069799
720.jpg;8;0.083271
720.jpg;8;0.082093
720.jpg;8;0.082157
720.jpg;8;0.079974
720.jpg;8;0.080911
720.jpg;8;0.081341
720.jpg;8;0.081242
720.jpg;8;0.217449
720.jpg;8;0.070307
720.jpg;8;0.081457
720.jpg;8;0.082250
720.jpg;8;0.081910
720.jpg;8;0.086266
720.jpg;8;0.082034
720.jpg;8;0.081975
720.jpg;8;0.079939
720.jpg;8;0.068096
720.jpg;8;0.079799
720.jpg;8;0.081115
720.jpg;8;0.080039
720.jpg;8;0.075453
720.jpg;8;0.068328
720.jpg;8;0.069309
720.jpg;8;0.068174
720.jpg;8;0.068522
720.jpg;8;0.067337
720.jpg;16;0.068158
720.jpg;16;0.068627
720.jpg;16;0.068710
720.jpg;16;0.075910
720.jpg;16;0.068097
720.jpg;16;0.069291
720.jpg;16;0.067027
720.jpg;16;0.080544
720.jpg;16;0.114859
720.jpg;16;0.075583
720.jpg;16;0.073433
720.jpg;16;0.081671
720.jpg;16;0.081515
720.jpg;16;0.080876
720.jpg;16;0.082462
720.jpg;16;0.080331
720.jpg;16;0.081456
720.jpg;16;0.083645
720.jpg;16;0.081204
720.jpg;16;0.068458
720.jpg;16;0.066811
720.jpg;16;0.068345
720.jpg;16;0.067247
720.jpg;16;0.066909
720.jpg;16;0.068140
720.jpg;16;0.068675
720.jpg;16;0.069090
720.jpg;16;0.067960
720.jpg;16;0.069311
720.jpg;16;0.068946
720.jpg;16;0.067699
720.jpg;16;0.068789
720.jpg;16;0.068645
720.jpg;16;0.067957
720.jpg;16;0.080850
720.jpg;16;0.081924
720.jpg;16;0.076291
720.jpg;16;0.068474
720.jpg;16;0.084115
720.jpg;16;0.075702
